name,type,n_user_recommend,first_sighted,last_sighted,url,n_members
VACCINES: LEARN THE RISKS,group,1,2020-12-29,2021-01-14,https://www.facebook.com/groups/2960240370882973,117
Vaccine Class Action Complaint,group,1,2020-12-17,2020-12-17,https://www.facebook.com/groups/834880043345099,3400
Health Freedom Group,group,2,2020-11-30,2020-12-10,https://www.facebook.com/groups/837407633450897,41000
HOLISTIC LIVES (Erin Elizabeth from Health Nut News),group,1,2021-01-15,2021-01-15,https://www.facebook.com/groups/holisticlivesmatter,64000
Pennsylvania for Medical Freedom,group,1,2020-12-29,2021-01-14,https://www.facebook.com/groups/PA4MF,356
Pennsylvanians For Medical Freedom and Informed Consent,group,1,2021-01-05,2021-01-05,https://www.facebook.com/groups/1259119907585274,774
Health Freedom PA,group,1,2021-01-10,2021-01-14,https://www.facebook.com/groups/650289135640044,323
5G Memes for COVID-19s,group,1,2021-01-16,2021-01-19,https://www.facebook.com/groups/160333311994969,66
The Covid Conspiracy,group,1,2021-03-23,2021-03-23,https://www.facebook.com/groups/215098239821683,
The Covid-19 Vaccination Debate (3.0) #covidvax,group,1,2021-03-14,2021-03-14,https://www.facebook.com/groups/766839170605132,7200
Worldwide Health Freedom,page,2,2020-12-12,2021-04-27,https://www.facebook.com/groups/,
Ann Arbor for Medical Freedom,page,1,2020-12-21,2020-12-21,https://www.facebook.com/A2forMedicalFreedom/,
Health Freedom Vermont,page,1,2021-03-03,2021-03-04,https://www.facebook.com/LiveFreeVermont/,
Vaccine-Choice Nevada,page,2,2020-11-30,2021-01-06,https://www.facebook.com/Vaccine-Choice-Nevada-417727242363772/,
Vaccine Awareness - Let's Be Educated,page,1,2020-12-29,2020-12-29,https://www.facebook.com/LiftTheVale/,
Southern California Proud Parents of Unvaccinated Children,page,2,2020-11-30,2021-01-18,https://www.facebook.com/UnitedProudParentsOfUnvaccinatedChildren/,